"","Site","Date","day_of_year","year","Tidal.elevation","quadrat.number","quad.distance","size","treatment"
"50","Cove Apts","6/14/17",165,"2017","1.5",9,"25.6",18,"control"
"51","Cove Apts","6/14/17",165,"2017","1.5",9,"25.6",27,"control"
"52","Cove Apts","6/14/17",165,"2017","1.5",9,"25.6",24,"control"
"53","Cove Apts","6/14/17",165,"2017","1.5",9,"25.6",21,"control"
"54","Cove Apts","6/14/17",165,"2017","1.5",9,"25.6",16,"control"
"55","Cove Apts","6/14/17",165,"2017","1.5",10,"27.3",21,"control"
"56","Cove Apts","6/14/17",165,"2017","1.5",10,"27.3",12,"control"
"57","Cove Apts","6/14/17",165,"2017","1.5",10,"27.3",12,"control"
"58","Cove Apts","6/14/17",165,"2017","1.5",10,"27.3",9,"control"
"59","Cove Apts","6/14/17",165,"2017","1.5",10,"27.3",11,"control"
"60","Cove Apts","6/14/17",165,"2017","1.5",10,"27.3",21,"control"
"61","Cove Apts","6/14/17",165,"2017","1.5",10,"27.3",20,"control"
"62","Cove Apts","6/14/17",165,"2017","1.5",10,"27.3",25,"control"
"63","Cove Apts","6/14/17",165,"2017","1.5",10,"27.3",17,"control"
"64","Lanis Boulders","6/14/17",165,"2017","N/A",1,"Boulder 4",17,"eradication"
"65","Lanis Boulders","6/14/17",165,"2017","N/A",1,"Boulder 4",20,"eradication"
"66","Lanis Boulders","6/14/17",165,"2017","N/A",1,"Boulder 4",18,"eradication"
"67","Lanis Boulders","6/14/17",165,"2017","N/A",1,"Boulder 4",19,"eradication"
"68","Lanis Boulders","6/14/17",165,"2017","N/A",1,"Boulder 4",18,"eradication"
"69","Lanis Boulders","6/14/17",165,"2017","N/A",1,"Boulder 4",21,"eradication"
"70","Lanis Boulders","6/14/17",165,"2017","N/A",1,"Boulder 4",20,"eradication"
"71","Lanis Boulders","6/14/17",165,"2017","N/A",1,"Boulder 4",20,"eradication"
"72","Lanis Boulders","6/14/17",165,"2017","N/A",1,"Boulder 4",22,"eradication"
"73","Lanis Boulders","6/14/17",165,"2017","N/A",1,"Boulder 4",20,"eradication"
"74","Lanis Boulders","6/14/17",165,"2017","N/A",2,"Boulder 4",19,"eradication"
"75","Lanis Boulders","6/14/17",165,"2017","N/A",2,"Boulder 4",17,"eradication"
"76","Lanis Boulders","6/14/17",165,"2017","N/A",2,"Boulder 4",19,"eradication"
"77","Lanis Boulders","6/14/17",165,"2017","N/A",2,"Boulder 4",20,"eradication"
"78","Lanis Boulders","6/14/17",165,"2017","N/A",2,"Boulder 4",19,"eradication"
"79","Lanis Boulders","6/14/17",165,"2017","N/A",3,"Boulder 3",19,"eradication"
"80","Lanis Boulders","6/14/17",165,"2017","N/A",3,"Boulder 3",19,"eradication"
"81","Lanis Boulders","6/14/17",165,"2017","N/A",3,"Boulder 3",20,"eradication"
"82","Lanis Boulders","6/14/17",165,"2017","N/A",3,"Boulder 3",23,"eradication"
"83","Lanis Boulders","6/14/17",165,"2017","N/A",3,"Boulder 3",24,"eradication"
"84","Lanis Boulders","6/14/17",165,"2017","N/A",3,"Boulder 3",18,"eradication"
"85","Lanis Boulders","6/14/17",165,"2017","N/A",3,"Boulder 3",19,"eradication"
"86","Lanis Boulders","6/14/17",165,"2017","N/A",3,"Boulder 3",17,"eradication"
"87","Lanis Boulders","6/14/17",165,"2017","N/A",3,"Boulder 3",19,"eradication"
"88","Lanis Boulders","6/14/17",165,"2017","N/A",3,"Boulder 3",19,"eradication"
"89","Lanis Boulders","6/14/17",165,"2017","N/A",4,"Boulder 3",21,"eradication"
"90","Lanis Boulders","6/14/17",165,"2017","N/A",4,"Boulder 3",21,"eradication"
"91","Lanis Boulders","6/14/17",165,"2017","N/A",4,"Boulder 3",19,"eradication"
"92","Lanis Boulders","6/14/17",165,"2017","N/A",4,"Boulder 3",16,"eradication"
"93","Lanis Boulders","6/14/17",165,"2017","N/A",4,"Boulder 3",23,"eradication"
"94","Lanis Boulders","6/14/17",165,"2017","N/A",4,"Boulder 3",16,"eradication"
"95","Lanis Boulders","6/14/17",165,"2017","N/A",4,"Boulder 3",19,"eradication"
"96","Lanis Boulders","6/14/17",165,"2017","N/A",4,"Boulder 3",19,"eradication"
"97","Lanis Boulders","6/14/17",165,"2017","N/A",4,"Boulder 3",21,"eradication"
"98","Lanis Boulders","6/14/17",165,"2017","N/A",4,"Boulder 3",17,"eradication"
"99","Lanis Boulders","6/14/17",165,"2017","N/A",5,"Boulder 3",21,"eradication"
"100","Lanis Boulders","6/14/17",165,"2017","N/A",5,"Boulder 3",18,"eradication"
"101","Lanis Boulders","6/14/17",165,"2017","N/A",5,"Boulder 3",21,"eradication"
"102","Lanis Boulders","6/14/17",165,"2017","N/A",5,"Boulder 3",21,"eradication"
"103","Lanis Boulders","6/14/17",165,"2017","N/A",5,"Boulder 3",17,"eradication"
"104","Lanis Boulders","6/14/17",165,"2017","N/A",5,"Boulder 3",20,"eradication"
"105","Lanis Boulders","6/14/17",165,"2017","N/A",5,"Boulder 3",19,"eradication"
"106","Lanis Boulders","6/14/17",165,"2017","N/A",5,"Boulder 3",17,"eradication"
"107","Lanis Boulders","6/14/17",165,"2017","N/A",6,"Boulder 2",15,"eradication"
"108","Lanis Boulders","6/14/17",165,"2017","N/A",6,"Boulder 2",17,"eradication"
"109","Lanis Boulders","6/14/17",165,"2017","N/A",9,"Boulder 2",15,"eradication"
"110","Lanis Boulders","6/15/17",166,"2017","N/A",10,"Boulder 3",18,"eradication"
"111","Lanis Boulders","6/16/17",167,"2017","N/A",11,"Boulder 4",20,"eradication"
"112","Lanis Boulders","6/17/17",168,"2017","N/A",12,"Boulder 5",16,"eradication"
"113","Lanis Boulders","6/18/17",169,"2017","N/A",13,"Boulder 6",14,"eradication"
"114","Lanis Boulders","6/19/17",170,"2017","N/A",14,"Boulder 7",17,"eradication"
"115","Lanis Boulders","6/20/17",171,"2017","N/A",15,"Boulder 8",11,"eradication"
"116","Aramburu Central","6/28/17",179,"2017","1.5",1,"0",20,"eradication"
"117","Aramburu Central","6/28/17",179,"2017","1.5",1,"0",23,"eradication"
"118","Aramburu Central","6/28/17",179,"2017","1.5",1,"0",20,"eradication"
"119","Aramburu Central","6/28/17",179,"2017","1.5",1,"0",18,"eradication"
"120","Aramburu Central","6/28/17",179,"2017","1.5",1,"0",20,"eradication"
"121","Aramburu Central","6/28/17",179,"2017","1.5",1,"0",20,"eradication"
"122","Aramburu Central","6/28/17",179,"2017","1.5",1,"0",17,"eradication"
"123","Aramburu Central","6/28/17",179,"2017","1.5",1,"0",18,"eradication"
"124","Aramburu Central","6/28/17",179,"2017","1.5",1,"0",21,"eradication"
"125","Aramburu Central","6/28/17",179,"2017","1.5",1,"0",19,"eradication"
"126","Aramburu Central","6/28/17",179,"2017","1.5",2,"3",20,"eradication"
"127","Aramburu Central","6/28/17",179,"2017","1.5",2,"3",20,"eradication"
"128","Aramburu Central","6/28/17",179,"2017","1.5",2,"3",19,"eradication"
"129","Aramburu Central","6/28/17",179,"2017","1.5",2,"3",17,"eradication"
"130","Aramburu Central","6/28/17",179,"2017","1.5",2,"3",19,"eradication"
"131","Aramburu Central","6/28/17",179,"2017","1.5",2,"3",20,"eradication"
"132","Hilarita","6/23/17",174,"2017","1.5",1,"0",22,"control"
"133","Hilarita","6/23/17",174,"2017","1.5",1,"",18,"control"
"134","Hilarita","6/23/17",174,"2017","1.5",1,"",17,"control"
"135","Hilarita","6/23/17",174,"2017","1.5",3,"",17,"control"
"136","Hilarita","6/23/17",174,"2017","1.5",3,"",19,"control"
"137","Hilarita","6/23/17",174,"2017","1.5",3,"",16,"control"
"138","Hilarita","6/23/17",174,"2017","1.5",4,"",16,"control"
"139","Hilarita","6/23/17",174,"2017","1.5",4,"",15,"control"
"140","Hilarita","6/23/17",174,"2017","1.5",4,"",18,"control"
"141","Hilarita","6/23/17",174,"2017","1.5",4,"",16,"control"
"142","Aramburu Central","6/28/17",179,"2017","1.5",2,"3",17,"eradication"
"143","Aramburu Central","6/28/17",179,"2017","1.5",2,"3",16,"eradication"
"144","Aramburu Central","6/28/17",179,"2017","1.5",2,"3",18,"eradication"
"145","Aramburu Central","6/28/17",179,"2017","1.5",2,"3",17,"eradication"
"146","Aramburu Central","6/28/17",179,"2017","1.5",3,"6",18,"eradication"
"147","Aramburu Central","6/28/17",179,"2017","1.5",3,"6",18,"eradication"
"148","Aramburu Central","6/28/17",179,"2017","1.5",3,"6",19,"eradication"
"149","Aramburu Central","6/28/17",179,"2017","1.5",3,"6",22,"eradication"
"150","Aramburu Central","6/28/17",179,"2017","1.5",3,"6",19,"eradication"
"151","Aramburu Central","6/28/17",179,"2017","1.5",3,"6",13,"eradication"
"152","Aramburu Central","6/28/17",179,"2017","1.5",3,"6",18,"eradication"
"153","Aramburu Central","6/28/17",179,"2017","1.5",3,"6",19,"eradication"
"154","Aramburu Central","6/28/17",179,"2017","1.5",3,"6",20,"eradication"
"155","Aramburu Central","6/28/17",179,"2017","1.5",3,"6",18,"eradication"
"156","Aramburu Central","6/28/17",179,"2017","1.5",4,"9",21,"eradication"
"157","Aramburu Central","6/28/17",179,"2017","1.5",4,"9",18,"eradication"
"158","Aramburu Central","6/28/17",179,"2017","1.5",4,"9",18,"eradication"
"159","Aramburu Central","6/28/17",179,"2017","1.5",4,"9",19,"eradication"
"160","Aramburu Central","6/28/17",179,"2017","1.5",5,"12",20,"eradication"
"161","Aramburu Central","6/28/17",179,"2017","1.5",5,"12",21,"eradication"
"162","Aramburu Central","6/28/17",179,"2017","1.5",5,"12",19,"eradication"
"163","Aramburu Central","6/28/17",179,"2017","1.5",6,"15",19,"eradication"
"164","Aramburu Central","6/28/17",179,"2017","1.5",6,"15",20,"eradication"
"165","Aramburu Central","6/28/17",179,"2017","1.5",6,"15",20,"eradication"
"166","Aramburu Central","6/28/17",179,"2017","1.5",6,"15",16,"eradication"
"167","Aramburu Central","6/28/17",179,"2017","1.5",7,"18",20,"eradication"
"168","Aramburu Central","6/28/17",179,"2017","1.5",7,"18",20,"eradication"
"169","Aramburu Central","6/28/17",179,"2017","1.5",7,"18",19,"eradication"
"170","Aramburu Central","6/28/17",179,"2017","1.5",7,"18",20,"eradication"
"171","Aramburu Central","6/28/17",179,"2017","1.5",7,"18",19,"eradication"
"172","Aramburu Central","6/28/17",179,"2017","1.5",7,"18",23,"eradication"
"173","Aramburu Central","6/28/17",179,"2017","1.5",7,"18",21,"eradication"
"174","Aramburu Central","6/28/17",179,"2017","1.5",7,"18",18,"eradication"
"175","Aramburu Central","6/28/17",179,"2017","1.5",7,"18",20,"eradication"
"176","Aramburu Central","6/28/17",179,"2017","1.5",7,"18",18,"eradication"
"177","Aramburu Central","6/28/17",179,"2017","1.5",8,"21",20,"eradication"
"178","Aramburu Central","6/28/17",179,"2017","1.5",8,"21",17,"eradication"
"179","Aramburu Central","6/28/17",179,"2017","1.5",8,"21",19,"eradication"
"180","Aramburu Central","6/28/17",179,"2017","1.5",9,"24",26,"eradication"
"181","Aramburu Central","6/28/17",179,"2017","1.5",9,"24",21,"eradication"
"182","Aramburu Central","6/28/17",179,"2017","1.5",9,"24",27,"eradication"
"183","Aramburu Central","6/28/17",179,"2017","1.5",9,"24",20,"eradication"
"184","Aramburu Central","6/28/17",179,"2017","1.5",9,"24",22,"eradication"
"185","Aramburu Central","6/28/17",179,"2017","1.5",9,"24",21,"eradication"
"186","Aramburu Central","6/28/17",179,"2017","1.5",9,"24",19,"eradication"
"187","Aramburu Central","6/28/17",179,"2017","1.5",9,"24",19,"eradication"
"188","Aramburu Central","6/28/17",179,"2017","1.5",9,"24",19,"eradication"
"189","Aramburu Central","6/28/17",179,"2017","1.5",9,"24",22,"eradication"
"190","Aramburu Central","6/28/17",179,"2017","1.5",10,"27",20,"eradication"
"191","Aramburu Central","6/28/17",179,"2017","1.5",10,"27",17,"eradication"
"192","Aramburu Central","6/28/17",179,"2017","1.5",10,"27",11,"eradication"
"193","Aramburu Central","6/28/17",179,"2017","2.5",2,"3",17,"eradication"
"194","Aramburu Central","6/28/17",179,"2017","2.5",2,"3",23,"eradication"
"195","Aramburu Central","6/28/17",179,"2017","2.5",2,"3",22,"eradication"
"196","Aramburu Central","6/28/17",179,"2017","2.5",3,"6",21,"eradication"
"197","Aramburu Central","6/28/17",179,"2017","2.5",3,"6",NA,"eradication"
"198","Aramburu Central","6/28/17",179,"2017","2.5",4,"9",23,"eradication"
"199","Aramburu Central","6/28/17",179,"2017","2.5",4,"9",19,"eradication"
"200","Aramburu Central","6/28/17",179,"2017","2.5",4,"9",16,"eradication"
"201","Aramburu Central","6/28/17",179,"2017","2.5",4,"9",21,"eradication"
"202","Aramburu Central","6/28/17",179,"2017","2.5",4,"9",18,"eradication"
"203","Aramburu Central","6/28/17",179,"2017","2.5",4,"9",17,"eradication"
"204","Aramburu Central","6/28/17",179,"2017","2.5",5,"12",18,"eradication"
"205","Aramburu Central","6/28/17",179,"2017","2.5",5,"12",19,"eradication"
"206","Aramburu Central","6/28/17",179,"2017","2.5",5,"12",18,"eradication"
"207","Aramburu Central","6/28/17",179,"2017","2.5",5,"12",19,"eradication"
"208","Aramburu Central","6/28/17",179,"2017","2.5",5,"12",19,"eradication"
"209","Aramburu Central","6/28/17",179,"2017","2.5",5,"12",21,"eradication"
"210","Aramburu Central","6/28/17",179,"2017","2.5",5,"12",18,"eradication"
"211","Aramburu Central","6/28/17",179,"2017","2.5",5,"12",19,"eradication"
"212","Aramburu South","7/27/17",208,"2017","1.5",1,"0",20,"control"
"213","Aramburu South","7/27/17",208,"2017","1.5",1,"0",21,"control"
"214","Aramburu South","7/27/17",208,"2017","1.5",1,"0",19,"control"
"215","Aramburu South","7/27/17",208,"2017","1.5",1,"0",20,"control"
"216","Aramburu South","7/27/17",208,"2017","1.5",1,"0",20,"control"
"217","Aramburu South","7/27/17",208,"2017","1.5",1,"0",19,"control"
"218","Aramburu South","7/27/17",208,"2017","1.5",1,"0",20,"control"
"219","Aramburu South","7/27/17",208,"2017","1.5",1,"0",19,"control"
"220","Aramburu South","7/27/17",208,"2017","1.5",2,"3",19,"control"
"221","Aramburu South","7/27/17",208,"2017","1.5",2,"3",18,"control"
"222","Aramburu South","7/27/17",208,"2017","1.5",2,"3",25,"control"
"223","Aramburu South","7/27/17",208,"2017","1.5",3,"6",20,"control"
"224","Aramburu South","7/27/17",208,"2017","1.5",3,"6",19,"control"
"225","Aramburu South","7/27/17",208,"2017","1.5",3,"6",22,"control"
"226","Aramburu South","7/27/17",208,"2017","1.5",3,"6",20,"control"
"227","Aramburu South","7/27/17",208,"2017","1.5",3,"6",20,"control"
"228","Aramburu South","7/27/17",208,"2017","1.5",3,"6",21,"control"
"229","Aramburu South","7/27/17",208,"2017","1.5",4,"9",18,"control"
"230","Aramburu South","7/27/17",208,"2017","1.5",4,"9",16,"control"
"231","Aramburu South","7/27/17",208,"2017","1.5",4,"9",17,"control"
"232","Aramburu South","7/27/17",208,"2017","1.5",4,"9",19,"control"
"233","Aramburu South","7/27/17",208,"2017","1.5",4,"9",17,"control"
"234","Aramburu South","7/27/17",208,"2017","1.5",4,"9",20,"control"
"235","Aramburu South","7/27/17",208,"2017","1.5",4,"9",19,"control"
"236","Aramburu South","7/27/17",208,"2017","1.5",4,"9",19,"control"
"237","Aramburu South","7/27/17",208,"2017","1.5",5,"12",20,"control"
"238","Aramburu South","7/27/17",208,"2017","1.5",5,"12",16,"control"
"239","Aramburu South","7/27/17",208,"2017","1.5",5,"12",18,"control"
"240","Aramburu South","7/27/17",208,"2017","1.5",5,"12",20,"control"
"241","Aramburu South","7/27/17",208,"2017","1.5",5,"12",17,"control"
"242","Aramburu South","7/27/17",208,"2017","1.5",5,"12",8,"control"
"243","Aramburu South","7/27/17",208,"2017","1.5",5,"12",17,"control"
"244","Aramburu South","7/27/17",208,"2017","1.5",5,"12",16,"control"
"245","Aramburu South","7/27/17",208,"2017","1.5",6,"15",20,"control"
"246","Aramburu South","7/27/17",208,"2017","1.5",6,"15",20,"control"
"247","Aramburu South","7/27/17",208,"2017","1.5",6,"15",20,"control"
"248","Aramburu South","7/27/17",208,"2017","1.5",6,"15",17,"control"
"249","Aramburu South","7/27/17",208,"2017","1.5",6,"15",12,"control"
"250","Aramburu South","7/27/17",208,"2017","1.5",6,"15",18,"control"
"251","Aramburu South","7/27/17",208,"2017","1.5",6,"15",17,"control"
"252","Aramburu South","7/27/17",208,"2017","1.5",6,"15",16,"control"
"253","Aramburu South","7/27/17",208,"2017","1.5",7,"18",19,"control"
"254","Aramburu South","7/27/17",208,"2017","1.5",7,"18",20,"control"
"255","Aramburu South","7/27/17",208,"2017","1.5",7,"18",18,"control"
"256","Aramburu South","7/27/17",208,"2017","1.5",7,"18",20,"control"
"257","Aramburu South","7/27/17",208,"2017","1.5",7,"18",19,"control"
"258","Aramburu South","7/27/17",208,"2017","1.5",7,"18",18,"control"
"259","Aramburu South","7/27/17",208,"2017","1.5",7,"18",19,"control"
"260","Aramburu South","7/27/17",208,"2017","1.5",8,"21",18,"control"
"261","Aramburu South","7/27/17",208,"2017","1.5",8,"21",20,"control"
"262","Aramburu South","7/27/17",208,"2017","1.5",8,"21",18,"control"
"263","Aramburu South","7/27/17",208,"2017","1.5",8,"21",14,"control"
"264","Aramburu South","7/27/17",208,"2017","1.5",8,"21",18,"control"
"265","Aramburu South","7/27/17",208,"2017","1.5",9,"24",18,"control"
"266","Aramburu South","7/27/17",208,"2017","1.5",9,"24",19,"control"
"267","Aramburu South","7/27/17",208,"2017","1.5",9,"24",18,"control"
"268","Aramburu South","7/27/17",208,"2017","1.5",9,"24",19,"control"
"269","Aramburu South","7/27/17",208,"2017","1.5",9,"24",16,"control"
"270","Aramburu South","7/27/17",208,"2017","1.5",9,"24",13,"control"
"271","Aramburu South","7/27/17",208,"2017","1.5",9,"24",16,"control"
"272","Aramburu South","7/27/17",208,"2017","1.5",9,"24",14,"control"
"273","Aramburu South","7/27/17",208,"2017","1.5",9,"24",16,"control"
"274","Aramburu South","7/27/17",208,"2017","1.5",9,"24",18,"control"
"275","Aramburu South","7/27/17",208,"2017","1.5",10,"27",18,"control"
"276","Aramburu South","7/27/17",208,"2017","1.5",10,"27",19,"control"
"277","Aramburu South","7/27/17",208,"2017","1.5",10,"27",14,"control"
"278","Blackies","6/15/17",166,"2017","2.5",1,"0",21,"control"
"279","Blackies","6/15/17",166,"2017","2.5",3,"",19,"control"
"280","Blackies","6/15/17",166,"2017","2.5",5,"",23,"control"
"281","Blackies","6/15/17",166,"2017","2.5",5,"",23,"control"
"282","Blackies","6/15/17",166,"2017","2.5",7,"",23,"control"
"283","Blackies","6/15/17",166,"2017","2.5",7,"",26,"control"
"284","Blackies","6/15/17",166,"2017","2.5",7,"",25,"control"
"285","Blackies","6/15/17",166,"2017","2.5",7,"",18,"control"
"286","Blackies","6/15/17",166,"2017","2.5",7,"",23,"control"
"287","Blackies","6/15/17",166,"2017","2.5",7,"",23,"control"
"288","Blackies","6/15/17",166,"2017","2.5",7,"",18,"control"
"289","Blackies","6/15/17",166,"2017","2.5",7,"",24,"control"
"290","Blackies","6/15/17",166,"2017","2.5",7,"",21,"control"
"291","Blackies","6/15/17",166,"2017","2.5",9,"",23,"control"
"292","Blackies","6/15/17",166,"2017","2.5",10,"",21,"control"
"293","Blackies","6/15/17",166,"2017","2.5",10,"",21,"control"
"294","Cove Apts","9/8/17",251,"2017","1.5",1,"0",9,"control"
"295","Cove Apts","9/8/17",251,"2017","1.5",1,"0",9,"control"
"296","Cove Apts","9/8/17",251,"2017","1.5",1,"0",22,"control"
"297","Cove Apts","9/8/17",251,"2017","1.5",1,"0",25,"control"
"298","Cove Apts","9/8/17",251,"2017","1.5",1,"0",24,"control"
"299","Cove Apts","9/8/17",251,"2017","1.5",1,"0",21,"control"
"300","Cove Apts","9/8/17",251,"2017","1.5",1,"0",10,"control"
"301","Cove Apts","9/8/17",251,"2017","1.5",1,"0",27,"control"
"302","Cove Apts","9/8/17",251,"2017","1.5",1,"0",22,"control"
"303","Cove Apts","9/8/17",251,"2017","1.5",1,"0",24,"control"
"304","Cove Apts","9/8/17",251,"2017","1.5",2,"3",25,"control"
"305","Cove Apts","9/8/17",251,"2017","1.5",2,"3",11,"control"
"306","Cove Apts","9/8/17",251,"2017","1.5",2,"3",12,"control"
"307","Cove Apts","9/8/17",251,"2017","1.5",2,"3",11,"control"
"308","Cove Apts","9/8/17",251,"2017","1.5",2,"3",24,"control"
"309","Cove Apts","9/8/17",251,"2017","1.5",2,"3",25,"control"
"310","Cove Apts","9/8/17",251,"2017","1.5",2,"3",9,"control"
"311","Cove Apts","9/8/17",251,"2017","1.5",2,"3",7,"control"
"312","Cove Apts","9/8/17",251,"2017","1.5",2,"3",14,"control"
"313","Cove Apts","9/8/17",251,"2017","1.5",2,"3",26,"control"
"314","Cove Apts","9/8/17",251,"2017","1.5",4,"9",13,"control"
"315","Cove Apts","9/8/17",251,"2017","1.5",4,"9",25,"control"
"316","Cove Apts","9/8/17",251,"2017","1.5",4,"9",7,"control"
"317","Cove Apts","9/8/17",251,"2017","1.5",4,"9",8,"control"
"318","Cove Apts","9/8/17",251,"2017","1.5",4,"9",9,"control"
"319","Cove Apts","9/8/17",251,"2017","1.5",4,"9",25,"control"
"320","Cove Apts","9/8/17",251,"2017","1.5",4,"9",26,"control"
"321","Cove Apts","9/8/17",251,"2017","1.5",4,"9",23,"control"
"322","Cove Apts","9/8/17",251,"2017","1.5",4,"9",23,"control"
"323","Cove Apts","9/8/17",251,"2017","1.5",4,"9",23,"control"
"324","Cove Apts","9/8/17",251,"2017","1.5",5,"12",8,"control"
"325","Cove Apts","9/8/17",251,"2017","1.5",5,"12",9,"control"
"326","Cove Apts","9/8/17",251,"2017","1.5",5,"12",10,"control"
"327","Cove Apts","9/8/17",251,"2017","1.5",5,"12",10,"control"
"328","Cove Apts","9/8/17",251,"2017","1.5",5,"12",27,"control"
"329","Cove Apts","9/8/17",251,"2017","1.5",5,"12",7,"control"
"330","Cove Apts","9/8/17",251,"2017","1.5",5,"12",5,"control"
"331","Cove Apts","9/8/17",251,"2017","1.5",5,"12",10,"control"
"332","Cove Apts","9/8/17",251,"2017","1.5",5,"12",21,"control"
"333","Cove Apts","9/8/17",251,"2017","1.5",5,"12",24,"control"
"334","Cove Apts","9/8/17",251,"2017","1.5",6,"15",23,"control"
"335","Cove Apts","9/8/17",251,"2017","1.5",6,"15",23,"control"
"336","Cove Apts","9/8/17",251,"2017","1.5",6,"15",24,"control"
"337","Cove Apts","9/8/17",251,"2017","1.5",6,"15",7,"control"
"338","Cove Apts","9/8/17",251,"2017","1.5",6,"15",6,"control"
"339","Cove Apts","9/8/17",251,"2017","1.5",6,"15",6,"control"
"340","Cove Apts","9/8/17",251,"2017","1.5",6,"15",11,"control"
"341","Cove Apts","9/8/17",251,"2017","1.5",7,"18",25,"control"
"342","Cove Apts","9/8/17",251,"2017","1.5",7,"18",7,"control"
"343","Cove Apts","9/8/17",251,"2017","1.5",7,"18",11,"control"
"344","Cove Apts","9/8/17",251,"2017","1.5",7,"18",6,"control"
"345","Cove Apts","9/8/17",251,"2017","1.5",7,"18",9,"control"
"346","Cove Apts","9/8/17",251,"2017","1.5",7,"18",10,"control"
"347","Cove Apts","9/8/17",251,"2017","1.5",7,"18",7,"control"
"348","Cove Apts","9/8/17",251,"2017","1.5",7,"18",7,"control"
"349","Cove Apts","9/8/17",251,"2017","1.5",7,"18",9,"control"
"350","Cove Apts","9/8/17",251,"2017","1.5",7,"18",22,"control"
"351","Cove Apts","9/8/17",251,"2017","1.5",8,"21",4,"control"
"352","Cove Apts","9/8/17",251,"2017","1.5",8,"21",7,"control"
"353","Cove Apts","9/8/17",251,"2017","1.5",8,"21",23,"control"
"354","Cove Apts","9/8/17",251,"2017","1.5",8,"21",9,"control"
