Site,Date,day_of_year,year,Tidal elevation,quadrat number,quad distance,size
Aramburu Central,6/28/17,179,2017,1.5,1,0,20
Aramburu Central,6/28/17,179,2017,1.5,1,0,17
Aramburu Central,6/28/17,179,2017,1.5,1,0,18
Aramburu Central,6/28/17,179,2017,1.5,1,0,21
Aramburu Central,6/28/17,179,2017,1.5,1,0,19
Aramburu Central,6/28/17,179,2017,1.5,2,3,20
Aramburu Central,6/28/17,179,2017,1.5,2,3,20
Aramburu Central,6/28/17,179,2017,1.5,2,3,19
Aramburu Central,6/28/17,179,2017,1.5,2,3,17
Aramburu Central,6/28/17,179,2017,1.5,2,3,19
Aramburu Central,6/28/17,179,2017,1.5,2,3,20
Hilarita,6/23/17,174,2017,1.5,1,0,22
Hilarita,6/23/17,174,2017,1.5,1,,18
Hilarita,6/23/17,174,2017,1.5,1,,17
Hilarita,6/23/17,174,2017,1.5,3,,17
Hilarita,6/23/17,174,2017,1.5,3,,19
Hilarita,6/23/17,174,2017,1.5,3,,16
Hilarita,6/23/17,174,2017,1.5,4,,16
Hilarita,6/23/17,174,2017,1.5,4,,15
Hilarita,6/23/17,174,2017,1.5,4,,18
Hilarita,6/23/17,174,2017,1.5,4,,16
Aramburu Central,6/28/17,179,2017,1.5,2,3,17
Aramburu Central,6/28/17,179,2017,1.5,2,3,16
Aramburu Central,6/28/17,179,2017,1.5,2,3,18
Aramburu Central,6/28/17,179,2017,1.5,2,3,17
Aramburu Central,6/28/17,179,2017,1.5,3,6,18
Aramburu Central,6/28/17,179,2017,1.5,3,6,18
Aramburu Central,6/28/17,179,2017,1.5,3,6,19
Aramburu Central,6/28/17,179,2017,1.5,3,6,22
Aramburu Central,6/28/17,179,2017,1.5,3,6,19
Aramburu Central,6/28/17,179,2017,1.5,3,6,13
Aramburu Central,6/28/17,179,2017,1.5,3,6,18
Aramburu Central,6/28/17,179,2017,1.5,3,6,19
Aramburu Central,6/28/17,179,2017,1.5,3,6,20
Aramburu Central,6/28/17,179,2017,1.5,3,6,18
Aramburu Central,6/28/17,179,2017,1.5,4,9,21
Aramburu Central,6/28/17,179,2017,1.5,4,9,18
Aramburu Central,6/28/17,179,2017,1.5,4,9,18
Aramburu Central,6/28/17,179,2017,1.5,4,9,19
Aramburu Central,6/28/17,179,2017,1.5,5,12,20
Aramburu Central,6/28/17,179,2017,1.5,5,12,21
Aramburu Central,6/28/17,179,2017,1.5,5,12,19
Aramburu Central,6/28/17,179,2017,1.5,6,15,19
Aramburu Central,6/28/17,179,2017,1.5,6,15,20
Aramburu Central,6/28/17,179,2017,1.5,6,15,20
Aramburu Central,6/28/17,179,2017,1.5,6,15,16
Aramburu Central,6/28/17,179,2017,1.5,7,18,20
Aramburu Central,6/28/17,179,2017,1.5,7,18,20
Aramburu Central,6/28/17,179,2017,1.5,7,18,19
Aramburu Central,6/28/17,179,2017,1.5,7,18,20
Aramburu Central,6/28/17,179,2017,1.5,7,18,19
Aramburu Central,6/28/17,179,2017,1.5,7,18,23
Aramburu Central,6/28/17,179,2017,1.5,7,18,21
Aramburu Central,6/28/17,179,2017,1.5,7,18,18
Aramburu Central,6/28/17,179,2017,1.5,7,18,20
Aramburu Central,6/28/17,179,2017,1.5,7,18,18
Aramburu Central,6/28/17,179,2017,1.5,8,21,20
Aramburu Central,6/28/17,179,2017,1.5,8,21,17
Aramburu Central,6/28/17,179,2017,1.5,8,21,19
Aramburu Central,6/28/17,179,2017,1.5,9,24,26
Aramburu Central,6/28/17,179,2017,1.5,9,24,21
Aramburu Central,6/28/17,179,2017,1.5,9,24,27
Aramburu Central,6/28/17,179,2017,1.5,9,24,20
Aramburu Central,6/28/17,179,2017,1.5,9,24,22
Aramburu Central,6/28/17,179,2017,1.5,9,24,21
Aramburu Central,6/28/17,179,2017,1.5,9,24,19
Aramburu Central,6/28/17,179,2017,1.5,9,24,19
Aramburu Central,6/28/17,179,2017,1.5,9,24,19
Aramburu Central,6/28/17,179,2017,1.5,9,24,22
Aramburu Central,6/28/17,179,2017,1.5,10,27,20
Aramburu Central,6/28/17,179,2017,1.5,10,27,17
Aramburu Central,6/28/17,179,2017,1.5,10,27,11
Aramburu Central,6/28/17,179,2017,2.5,2,3,17
Aramburu Central,6/28/17,179,2017,2.5,2,3,23
Aramburu Central,6/28/17,179,2017,2.5,2,3,22
Aramburu Central,6/28/17,179,2017,2.5,3,6,21
Aramburu Central,6/28/17,179,2017,2.5,3,6,
Aramburu Central,6/28/17,179,2017,2.5,4,9,23
Aramburu Central,6/28/17,179,2017,2.5,4,9,19
Aramburu Central,6/28/17,179,2017,2.5,4,9,16
Aramburu Central,6/28/17,179,2017,2.5,4,9,21
Aramburu Central,6/28/17,179,2017,2.5,4,9,18
Aramburu Central,6/28/17,179,2017,2.5,4,9,17
Aramburu Central,6/28/17,179,2017,2.5,5,12,18
Aramburu Central,6/28/17,179,2017,2.5,5,12,19
Aramburu Central,6/28/17,179,2017,2.5,5,12,18
Aramburu Central,6/28/17,179,2017,2.5,5,12,19
Aramburu Central,6/28/17,179,2017,2.5,5,12,19
Aramburu Central,6/28/17,179,2017,2.5,5,12,21
Aramburu Central,6/28/17,179,2017,2.5,5,12,18
Aramburu Central,6/28/17,179,2017,2.5,5,12,19
Aramburu South,7/27/17,208,2017,1.5,1,0,20
Aramburu South,7/27/17,208,2017,1.5,1,0,21
Aramburu South,7/27/17,208,2017,1.5,1,0,19
Aramburu South,7/27/17,208,2017,1.5,1,0,20
Aramburu South,7/27/17,208,2017,1.5,1,0,20
Aramburu South,7/27/17,208,2017,1.5,1,0,19
Aramburu South,7/27/17,208,2017,1.5,1,0,20
Aramburu South,7/27/17,208,2017,1.5,1,0,19
Aramburu South,7/27/17,208,2017,1.5,2,3,19
Aramburu South,7/27/17,208,2017,1.5,2,3,18
Aramburu South,7/27/17,208,2017,1.5,2,3,25
Aramburu South,7/27/17,208,2017,1.5,3,6,20
Aramburu South,7/27/17,208,2017,1.5,3,6,19
Aramburu South,7/27/17,208,2017,1.5,3,6,22
Aramburu South,7/27/17,208,2017,1.5,3,6,20
Aramburu South,7/27/17,208,2017,1.5,3,6,20
Aramburu South,7/27/17,208,2017,1.5,3,6,21
Aramburu South,7/27/17,208,2017,1.5,4,9,18
Aramburu South,7/27/17,208,2017,1.5,4,9,16
Aramburu South,7/27/17,208,2017,1.5,4,9,17
Aramburu South,7/27/17,208,2017,1.5,4,9,19
Aramburu South,7/27/17,208,2017,1.5,4,9,17
Aramburu South,7/27/17,208,2017,1.5,4,9,20
Aramburu South,7/27/17,208,2017,1.5,4,9,19
Aramburu South,7/27/17,208,2017,1.5,4,9,19
Aramburu South,7/27/17,208,2017,1.5,5,12,20
Aramburu South,7/27/17,208,2017,1.5,5,12,16
Aramburu South,7/27/17,208,2017,1.5,5,12,18
Aramburu South,7/27/17,208,2017,1.5,5,12,20
Aramburu South,7/27/17,208,2017,1.5,5,12,17
Aramburu South,7/27/17,208,2017,1.5,5,12,8
Aramburu South,7/27/17,208,2017,1.5,5,12,17
Aramburu South,7/27/17,208,2017,1.5,5,12,16
Aramburu South,7/27/17,208,2017,1.5,6,15,20
Aramburu South,7/27/17,208,2017,1.5,6,15,20
Aramburu South,7/27/17,208,2017,1.5,6,15,20
Aramburu South,7/27/17,208,2017,1.5,6,15,17
Aramburu South,7/27/17,208,2017,1.5,6,15,12
Aramburu South,7/27/17,208,2017,1.5,6,15,18
Aramburu South,7/27/17,208,2017,1.5,6,15,17
Aramburu South,7/27/17,208,2017,1.5,6,15,16
Aramburu South,7/27/17,208,2017,1.5,7,18,19
Aramburu South,7/27/17,208,2017,1.5,7,18,20
Aramburu South,7/27/17,208,2017,1.5,7,18,18
Aramburu South,7/27/17,208,2017,1.5,7,18,20
Aramburu South,7/27/17,208,2017,1.5,7,18,19
Aramburu South,7/27/17,208,2017,1.5,7,18,18
Aramburu South,7/27/17,208,2017,1.5,7,18,19
Aramburu South,7/27/17,208,2017,1.5,8,21,18
Aramburu South,7/27/17,208,2017,1.5,8,21,20
Aramburu South,7/27/17,208,2017,1.5,8,21,18
Aramburu South,7/27/17,208,2017,1.5,8,21,14
Aramburu South,7/27/17,208,2017,1.5,8,21,18
Aramburu South,7/27/17,208,2017,1.5,9,24,18
Aramburu South,7/27/17,208,2017,1.5,9,24,19
Aramburu South,7/27/17,208,2017,1.5,9,24,18
Aramburu South,7/27/17,208,2017,1.5,9,24,19
Aramburu South,7/27/17,208,2017,1.5,9,24,16
Aramburu South,7/27/17,208,2017,1.5,9,24,13
Aramburu South,7/27/17,208,2017,1.5,9,24,16
Aramburu South,7/27/17,208,2017,1.5,9,24,14
Aramburu South,7/27/17,208,2017,1.5,9,24,16
Aramburu South,7/27/17,208,2017,1.5,9,24,18
Aramburu South,7/27/17,208,2017,1.5,10,27,18
Aramburu South,7/27/17,208,2017,1.5,10,27,19
Aramburu South,7/27/17,208,2017,1.5,10,27,14
Blackies,6/15/17,166,2017,2.5,1,0,21
Blackies,6/15/17,166,2017,2.5,3,,19
Blackies,6/15/17,166,2017,2.5,5,,23
Blackies,6/15/17,166,2017,2.5,5,,23
Blackies,6/15/17,166,2017,2.5,7,,23
Blackies,6/15/17,166,2017,2.5,7,,26
Blackies,6/15/17,166,2017,2.5,7,,25
Blackies,6/15/17,166,2017,2.5,7,,18
Blackies,6/15/17,166,2017,2.5,7,,23
Blackies,6/15/17,166,2017,2.5,7,,23
Blackies,6/15/17,166,2017,2.5,7,,18
Blackies,6/15/17,166,2017,2.5,7,,24
Blackies,6/15/17,166,2017,2.5,7,,21
Blackies,6/15/17,166,2017,2.5,9,,23
Blackies,6/15/17,166,2017,2.5,10,,21
Blackies,6/15/17,166,2017,2.5,10,,21
Cove Apts,9/8/17,251,2017,1.5,1,0,9
Cove Apts,9/8/17,251,2017,1.5,1,0,9
Cove Apts,9/8/17,251,2017,1.5,1,0,22
Cove Apts,9/8/17,251,2017,1.5,1,0,25
Cove Apts,9/8/17,251,2017,1.5,1,0,24
Cove Apts,9/8/17,251,2017,1.5,1,0,21
Cove Apts,9/8/17,251,2017,1.5,1,0,10
Cove Apts,9/8/17,251,2017,1.5,1,0,27
Cove Apts,9/8/17,251,2017,1.5,1,0,22
Cove Apts,9/8/17,251,2017,1.5,1,0,24
Cove Apts,9/8/17,251,2017,1.5,2,3,25
Cove Apts,9/8/17,251,2017,1.5,2,3,11
Cove Apts,9/8/17,251,2017,1.5,2,3,12
Cove Apts,9/8/17,251,2017,1.5,2,3,11
Cove Apts,9/8/17,251,2017,1.5,2,3,24
Cove Apts,9/8/17,251,2017,1.5,2,3,25
Cove Apts,9/8/17,251,2017,1.5,2,3,9
Cove Apts,9/8/17,251,2017,1.5,2,3,7
Cove Apts,9/8/17,251,2017,1.5,2,3,14
Cove Apts,9/8/17,251,2017,1.5,2,3,26
Cove Apts,9/8/17,251,2017,1.5,4,9,13
Cove Apts,9/8/17,251,2017,1.5,4,9,25
Cove Apts,9/8/17,251,2017,1.5,4,9,7
Cove Apts,9/8/17,251,2017,1.5,4,9,8
Cove Apts,9/8/17,251,2017,1.5,4,9,9
Cove Apts,9/8/17,251,2017,1.5,4,9,25
Cove Apts,9/8/17,251,2017,1.5,4,9,26
Cove Apts,9/8/17,251,2017,1.5,4,9,23
Cove Apts,9/8/17,251,2017,1.5,4,9,23
Cove Apts,9/8/17,251,2017,1.5,4,9,23
Cove Apts,9/8/17,251,2017,1.5,5,12,8
Cove Apts,9/8/17,251,2017,1.5,5,12,9
Cove Apts,9/8/17,251,2017,1.5,5,12,10
Cove Apts,9/8/17,251,2017,1.5,5,12,10
Cove Apts,9/8/17,251,2017,1.5,5,12,27
Cove Apts,9/8/17,251,2017,1.5,5,12,7
Cove Apts,9/8/17,251,2017,1.5,5,12,5
Cove Apts,9/8/17,251,2017,1.5,5,12,10
Cove Apts,9/8/17,251,2017,1.5,5,12,21
Cove Apts,9/8/17,251,2017,1.5,5,12,24
Cove Apts,9/8/17,251,2017,1.5,6,15,23
Cove Apts,9/8/17,251,2017,1.5,6,15,23
Cove Apts,9/8/17,251,2017,1.5,6,15,24
Cove Apts,9/8/17,251,2017,1.5,6,15,7
Cove Apts,9/8/17,251,2017,1.5,6,15,6
Cove Apts,9/8/17,251,2017,1.5,6,15,6
Cove Apts,9/8/17,251,2017,1.5,6,15,11
Cove Apts,9/8/17,251,2017,1.5,7,18,25
Cove Apts,9/8/17,251,2017,1.5,7,18,7
Cove Apts,9/8/17,251,2017,1.5,7,18,11
Cove Apts,9/8/17,251,2017,1.5,7,18,6
Cove Apts,9/8/17,251,2017,1.5,7,18,9
Cove Apts,9/8/17,251,2017,1.5,7,18,10
Cove Apts,9/8/17,251,2017,1.5,7,18,7
Cove Apts,9/8/17,251,2017,1.5,7,18,7
Cove Apts,9/8/17,251,2017,1.5,7,18,9
Cove Apts,9/8/17,251,2017,1.5,7,18,22
Cove Apts,9/8/17,251,2017,1.5,8,21,4
Cove Apts,9/8/17,251,2017,1.5,8,21,7
Cove Apts,9/8/17,251,2017,1.5,8,21,23
Cove Apts,9/8/17,251,2017,1.5,8,21,9
Cove Apts,9/8/17,251,2017,1.5,8,21,7
Cove Apts,9/8/17,251,2017,1.5,8,21,7
Cove Apts,9/8/17,251,2017,1.5,8,21,5
Cove Apts,9/8/17,251,2017,1.5,8,21,24
Cove Apts,9/8/17,251,2017,1.5,8,21,4
Cove Apts,9/8/17,251,2017,1.5,8,21,7
Cove Apts,9/8/17,251,2017,1.5,9,24,9
Cove Apts,9/8/17,251,2017,1.5,9,24,10
Cove Apts,9/8/17,251,2017,1.5,9,24,10
Cove Apts,9/8/17,251,2017,1.5,9,24,12
Cove Apts,9/8/17,251,2017,1.5,9,24,7
Cove Apts,9/8/17,251,2017,1.5,9,24,12
Cove Apts,9/8/17,251,2017,1.5,9,24,5
Cove Apts,9/8/17,251,2017,1.5,9,24,23
Cove Apts,9/8/17,251,2017,1.5,10,27,10
Cove Apts,9/8/17,251,2017,1.5,10,27,11
Cove Apts,9/8/17,251,2017,1.5,10,27,11
Cove Apts,9/8/17,251,2017,1.5,10,27,9
Cove Apts,9/8/17,251,2017,1.5,10,27,8
Cove Apts,9/8/17,251,2017,1.5,10,27,13
Cove Apts,9/8/17,251,2017,1.5,10,27,21
Cove Apts,9/8/17,251,2017,1.5,10,27,7
Cove Apts,9/8/17,251,2017,1.5,10,27,8
Cove Apts,9/8/17,251,2017,1.5,10,27,6
Cove Apts,9/8/17,251,2017,2.5,1,0,NA
Cove Apts,9/8/17,251,2017,2.5,1,3,19
Cove Apts,9/8/17,251,2017,2.5,1,3,26
Cove Apts,9/8/17,251,2017,2.5,1,3,11
Cove Apts,9/8/17,251,2017,2.5,1,6,7
Cove Apts,9/8/17,251,2017,2.5,1,8,8
Cove Apts,9/8/17,251,2017,2.5,1,8,7
Cove Apts,9/8/17,251,2017,2.5,1,9,6
Cove Apts,9/8/17,251,2017,2.5,1,9,23
Cove Apts,9/8/17,251,2017,2.5,1,9,10
Cove Apts,9/8/17,251,2017,2.5,1,9,8
Cove Apts,9/8/17,251,2017,2.5,1,9,11
Cove Apts,9/8/17,251,2017,2.5,1,9,8
Cove Apts,9/8/17,251,2017,2.5,1,9,8
Cove Apts,9/8/17,251,2017,2.5,1,9,5
Cove Apts,9/8/17,251,2017,2.5,1,9,5
Cove Apts,9/8/17,251,2017,2.5,1,10,4
Cove Apts,9/8/17,251,2017,2.5,1,10,5
Cove Apts,9/8/17,251,2017,2.5,1,10,5
Cove Apts,9/8/17,251,2017,2.5,1,10,6
Cove Apts,6/14/17,165,2017,1.5,1,3.7,19
Cove Apts,6/14/17,165,2017,1.5,1,3.7,19
Cove Apts,6/14/17,165,2017,1.5,1,3.7,21
Cove Apts,6/14/17,165,2017,1.5,1,3.7,20
Cove Apts,6/14/17,165,2017,1.5,1,3.7,21
Cove Apts,6/14/17,165,2017,1.5,1,3.7,20
Cove Apts,6/14/17,165,2017,1.5,1,3.7,26
Cove Apts,6/14/17,165,2017,1.5,1,3.7,22
Cove Apts,6/14/17,165,2017,1.5,1,3.7,17
Cove Apts,6/14/17,165,2017,1.5,1,3.7,21
Cove Apts,6/14/17,165,2017,1.5,2,6.4,22
Cove Apts,6/14/17,165,2017,1.5,2,6.4,23
Cove Apts,6/14/17,165,2017,1.5,2,6.4,23
Cove Apts,6/14/17,165,2017,1.5,2,6.4,21
Cove Apts,6/14/17,165,2017,1.5,2,6.4,20
Cove Apts,6/14/17,165,2017,1.5,2,6.4,18
Cove Apts,6/14/17,165,2017,1.5,2,6.4,21
Cove Apts,6/14/17,165,2017,1.5,2,6.4,19
Cove Apts,6/14/17,165,2017,1.5,2,6.4,21
Cove Apts,6/14/17,165,2017,1.5,2,6.4,19
Cove Apts,6/14/17,165,2017,1.5,3,11.9,21
Cove Apts,6/14/17,165,2017,1.5,3,11.9,22
Cove Apts,6/14/17,165,2017,1.5,3,11.9,25
Cove Apts,6/14/17,165,2017,1.5,3,11.9,22
Cove Apts,6/14/17,165,2017,1.5,3,11.9,21
Cove Apts,6/14/17,165,2017,1.5,3,11.9,24
Cove Apts,6/14/17,165,2017,1.5,3,11.9,22
Cove Apts,6/14/17,165,2017,1.5,3,11.9,18
Cove Apts,6/14/17,165,2017,1.5,3,11.9,19
Cove Apts,6/14/17,165,2017,1.5,3,11.9,20
Cove Apts,6/14/17,165,2017,1.5,4,14,18
Cove Apts,6/14/17,165,2017,1.5,4,14,17
Cove Apts,6/14/17,165,2017,1.5,4,14,18
Cove Apts,6/14/17,165,2017,1.5,4,14,21
Cove Apts,6/14/17,165,2017,1.5,4,14,22
Cove Apts,6/14/17,165,2017,1.5,5,15.3,23
Cove Apts,6/14/17,165,2017,1.5,6,15.5,21
Cove Apts,6/14/17,165,2017,1.5,6,15.5,28
Cove Apts,6/14/17,165,2017,1.5,6,15.5,20
Cove Apts,6/14/17,165,2017,1.5,6,15.5,24
Cove Apts,6/14/17,165,2017,1.5,6,15.5,25
Cove Apts,6/14/17,165,2017,1.5,6,15.5,21
Cove Apts,6/14/17,165,2017,1.5,6,15.5,23
Cove Apts,6/14/17,165,2017,1.5,6,15.5,17
Cove Apts,6/14/17,165,2017,1.5,6,15.5,19
Cove Apts,6/14/17,165,2017,1.5,6,15.5,19
Cove Apts,6/14/17,165,2017,1.5,8,24.6,19
Cove Apts,6/14/17,165,2017,1.5,8,24.6,24
Cove Apts,6/14/17,165,2017,1.5,8,24.6,18
Cove Apts,6/14/17,165,2017,1.5,9,25.6,18
Cove Apts,6/14/17,165,2017,1.5,9,25.6,27
Cove Apts,6/14/17,165,2017,1.5,9,25.6,24
Cove Apts,6/14/17,165,2017,1.5,9,25.6,21
Cove Apts,6/14/17,165,2017,1.5,9,25.6,16
Cove Apts,6/14/17,165,2017,1.5,10,27.3,21
Cove Apts,6/14/17,165,2017,1.5,10,27.3,12
Cove Apts,6/14/17,165,2017,1.5,10,27.3,12
Cove Apts,6/14/17,165,2017,1.5,10,27.3,9
Cove Apts,6/14/17,165,2017,1.5,10,27.3,11
Cove Apts,6/14/17,165,2017,1.5,10,27.3,21
Cove Apts,6/14/17,165,2017,1.5,10,27.3,20
Cove Apts,6/14/17,165,2017,1.5,10,27.3,25
Cove Apts,6/14/17,165,2017,1.5,10,27.3,17
Lanis Beach,9/8/17,251,2017,1.5,1,0,20
Lanis Beach,9/8/17,251,2017,1.5,1,0,17
Lanis Beach,9/8/17,251,2017,1.5,1,0,17
Lanis Beach,9/8/17,251,2017,1.5,1,0,19
Lanis Beach,9/8/17,251,2017,1.5,1,0,21
Lanis Beach,9/8/17,251,2017,1.5,1,0,20
Lanis Beach,9/8/17,251,2017,1.5,1,0,10
Lanis Beach,9/8/17,251,2017,1.5,1,0,19
Lanis Beach,9/8/17,251,2017,1.5,1,0,21
Lanis Beach,9/8/17,251,2017,1.5,1,0,20
Lanis Beach,9/8/17,251,2017,1.5,4,9,12
Lanis Beach,9/8/17,251,2017,1.5,4,9,21
Lanis Beach,9/8/17,251,2017,1.5,4,9,9
Lanis Beach,9/8/17,251,2017,1.5,4,9,13
Lanis Beach,9/8/17,251,2017,1.5,4,9,10
Lanis Beach,9/8/17,251,2017,1.5,5,12,6
Lanis Beach,9/8/17,251,2017,1.5,5,12,17
